Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 01/21  01:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56185614233309,2.00037753560552,1.7811168389693,0.498408981566228,0.0 
 01/21  02:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56287300392971,2.00143449546551,1.78215374969761,0.498410856661204,0.0 
 01/21  03:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56363376617466,2.00218794538438,1.78291085577952,0.498412193313875,0.0 
 01/21  04:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56424425349531,2.00276979234268,1.783507022919,0.498413225534462,0.0 
 01/21  05:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.5647600048322,2.00324628824813,1.78400314654017,0.498414070857252,0.0 
 01/21  06:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56521299648702,2.00365457243139,1.7844337844592,0.498414795169236,0.0 
 01/21  07:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56562260230703,2.00401679939884,1.78481970085293,0.498415437773573,0.0 
 01/21  08:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.56040291262836,1.94303071712678,1.75171681487757,0.24915362054156,0.0 
 01/21  09:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.54877915542371,1.92040210686374,1.73459063114373,0.249133546496689,0.0 
 01/21  10:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.54169332565107,1.91223857052333,1.7269659480872,0.249126304352597,0.0 
