Date/Time,SomeCategory:Some subcategory [x](Hourly),SomeCategory:Some other subcategory,SomeOtherCategory:yet another subcategory [x](Hourly)
 01/01  01:00:00,7.0125,0.975,0
 01/01  02:00:00,7.2,1.3125,0
 01/01  03:00:00,6.8875,2.1,0
 01/01  04:00:00,6.325,1.725,0
 01/01  05:00:00,5.0375,2.5,0
 01/01  06:00:00,4.4,2.475,0
 01/01  07:00:00,5.4625,0.7875,0
 01/01  08:00:00,5.4125,0,0
 01/01  09:00:00,6.75,0,0
 01/01  10:00:00,8.4875,0,0
 01/01  11:00:00,9.2125,0.9375,0
 01/01  12:00:00,9.775,1.5,0
 01/01  13:00:00,10.375,1.5,0
 01/01  14:00:00,10.9125,0.5625,0
 01/01  15:00:00,12.85,0,0
 01/01  16:00:00,13.9,1.9375,0
 01/01  17:00:00,12.15,3.1,0
 01/01  18:00:00,11.1,2.1,0
 01/01  19:00:00,10.7875,1.5,0
 01/01  20:00:00,10.6,1.875,0
 01/01  21:00:00,9.5375,2.1,0
 01/01  22:00:00,9.2125,2.1,0
 01/01  23:00:00,8.4,1.725,0
 01/01  24:00:00,7.1125,2.1875,0
 01/02  01:00:00,8.075,2.2875,0
 01/02  02:00:00,7.15,0.7875,0
 01/02  03:00:00,5.7875,0,0
 01/02  04:00:00,4.5375,0,0
 01/02  05:00:00,4.9625,0.9375,0
 01/02  06:00:00,6.6,2.5,0
 01/02  07:00:00,7.575,3.725,0.74322432
 01/02  08:00:00,7.425,5.1,1.48644864
 01/02  09:00:00,9.325,6.0125,7.06063104
 01/02  10:00:00,11.2875,5.575,7.06063104
 01/02  11:00:00,13.075,4.2,7.06063104
 01/02  12:00:00,13.9,3.9125,7.06063104
 01/02  13:00:00,13.9,1.5375,3.7161216
 01/02  14:00:00,13.9,1.3125,7.06063104
 01/02  15:00:00,12.8375,2.1,7.06063104
 01/02  16:00:00,12.575,2.725,7.06063104
 01/02  17:00:00,11.7375,3.725,7.06063104
 01/02  18:00:00,10.7875,1.5375,5.20257024
 01/02  19:00:00,11.2875,0,2.97289728
 01/02  20:00:00,11.7,0.9375,2.97289728
 01/02  21:00:00,10.6375,1.5,0.74322432
 01/02  22:00:00,9.3125,0.5625,0.74322432
 01/02  23:00:00,9.2125,0,0.37161216
 01/02  24:00:00,9.0875,0,0.37161216
 01/03  01:00:00,9.2125,1.625,0
 01/03  02:00:00,9.775,4.225,0
 01/03  03:00:00,11.375,2.8875,0
 01/03  04:00:00,13.2625,5.6875,0
 01/03  05:00:00,13.2125,10.1375,0
 01/03  06:00:00,12.425,10.675,0
 01/03  07:00:00,11.5125,10.3,0.74322432
 01/03  08:00:00,11.1,8.9875,1.48644864
 01/03  09:00:00,11.475,5.6375,7.06063104
 01/03  10:00:00,12.7,3.1625,7.06063104
 01/03  11:00:00,12.6125,3.5375,7.06063104
 01/03  12:00:00,13.95,3.1625,7.06063104
 01/03  13:00:00,15.375,2.2875,3.7161216
 01/03  14:00:00,15.9125,0.7875,7.06063104
 01/03  15:00:00,16.1,0.9375,7.06063104
 01/03  16:00:00,14.725,1.875,7.06063104
 01/03  17:00:00,13.9,0.7875,7.06063104
 01/03  18:00:00,13.2125,1.3125,5.20257024
 01/03  19:00:00,12.425,1.725,2.97289728
 01/03  20:00:00,11.2,0.5625,2.97289728
 01/03  21:00:00,10.225,1.3125,0.74322432
 01/03  22:00:00,9.3125,0.7875,0.74322432
 01/03  23:00:00,8.9,1.625,0.37161216
 01/03  24:00:00,8.9,3.85,0.37161216
 01/04  01:00:00,8.525,1.725,0
 01/04  02:00:00,7.9875,0,0
 01/04  03:00:00,8.1125,1.625,0
 01/04  04:00:00,6.925,0.975,0
 01/04  05:00:00,5.0375,0.9375,0
 01/04  06:00:00,5.4625,0.5625,0
 01/04  07:00:00,5.4125,0,0.74322432
 01/04  08:00:00,6.0625,0.9375,1.48644864
 01/04  09:00:00,7.7,3.125,7.06063104
 01/04  10:00:00,8.675,4.1,7.06063104
 01/04  11:00:00,8.9,3.475,7.06063104
 01/04  12:00:00,9.5875,2.475,7.06063104
 01/04  13:00:00,10.375,1.725,3.7161216
 01/04  14:00:00,10.6,0.5625,7.06063104
 01/04  15:00:00,10.225,1.3125,7.06063104
 01/04  16:00:00,10.375,2.4125,7.06063104
 01/04  17:00:00,10.225,0.975,7.06063104
 01/04  18:00:00,10,0,5.20257024
 01/04  19:00:00,9.625,0,2.97289728
 01/04  20:00:00,9.4,0,2.97289728
 01/04  21:00:00,9.0875,0.9375,0.74322432
 01/04  22:00:00,8.9,1.5,0.74322432
 01/04  23:00:00,7.8375,2.1875,0.37161216
 01/04  24:00:00,7.8875,2.9125,0.37161216
 01/05  01:00:00,7.9875,2.475,0
 01/05  02:00:00,7.8,2.1,0
 01/05  03:00:00,6.05,0.7875,0
 01/05  04:00:00,4.3125,0.9375,0
 01/05  05:00:00,4.2125,0.5625,0
 01/05  06:00:00,4.0875,0,0
 01/05  07:00:00,5.275,1.3125,0.74322432
 01/05  08:00:00,6.475,3.35,1.48644864
 01/05  09:00:00,7.0125,3.1625,7.06063104
 01/05  10:00:00,7.2,3.225,7.06063104
 01/05  11:00:00,7.8875,3.6,7.06063104
 01/05  12:00:00,8.675,3.6,7.06063104
 01/05  13:00:00,9.2125,2.6625,3.7161216
 01/05  14:00:00,10.15,2.1,7.06063104
 01/05  15:00:00,10.9125,3.0375,7.06063104
 01/05  16:00:00,10.4125,2.6625,7.06063104
 01/05  17:00:00,10.375,0.7875,7.06063104
 01/05  18:00:00,9.85,0.9375,5.20257024
 01/05  19:00:00,9.0875,0.5625,2.97289728
 01/05  20:00:00,8.9,0,2.97289728
 01/05  21:00:00,8.2125,0.9375,0.74322432
 01/05  22:00:00,8.1125,1.875,0.74322432
 01/05  23:00:00,7.9875,2.725,0.37161216
 01/05  24:00:00,7.425,3.1,0.37161216
 01/06  01:00:00,7.2,2.7875,0
 01/06  02:00:00,6.8875,3.225,0
 01/06  03:00:00,6.7,3.6,0
 01/06  04:00:00,6.7,3.6,0
 01/06  05:00:00,6.325,3.2875,0
 01/06  06:00:00,6.1,1.1625,0
 01/06  07:00:00,5.7875,1.625,0.74322432
 01/06  08:00:00,5.225,2.2875,0.74322432
 01/06  09:00:00,5.375,2.1,3.7161216
 01/06  10:00:00,5.9125,3.6625,3.7161216
 01/06  11:00:00,6.475,3.6625,3.7161216
 01/06  12:00:00,6.7,2.7875,3.7161216
 01/06  13:00:00,7.0125,0.975,3.7161216
 01/06  14:00:00,7.575,0.9375,3.7161216
 01/06  15:00:00,8.1125,2.1875,0.74322432
 01/06  16:00:00,8.3,1.9125,0.74322432
 01/06  17:00:00,8.3,1.5,0.74322432
 01/06  18:00:00,8.3,1.875,0
 01/06  19:00:00,8.3,1.725,0
 01/06  20:00:00,7.9875,0.5625,0
 01/06  21:00:00,7.1125,1.3125,0
 01/06  22:00:00,6.7,0.7875,0
 01/06  23:00:00,8.7625,3.5625,0
 01/06  24:00:00,9.3125,4.7,0
 01/07  01:00:00,9.2125,4.1,0
 01/07  02:00:00,9.0875,2.475,0
 01/07  03:00:00,7.15,1.5,0
 01/07  04:00:00,6.475,1.5,0
 01/07  05:00:00,7.0125,2.1875,0
 01/07  06:00:00,7.8875,1.9125,0
 01/07  07:00:00,7.9875,0.5625,0
 01/07  08:00:00,8.4875,0.9375,0
 01/07  09:00:00,8.9,1.875,0
 01/07  10:00:00,9.5875,2.1,0
 01/07  11:00:00,8.625,4.35,0
 01/07  12:00:00,7.8,5.7,0
 01/07  13:00:00,8.4875,4.075,0
 01/07  14:00:00,8.9,3.1,0
 01/07  15:00:00,9.5875,3.725,0
 01/07  16:00:00,9.625,3.475,0
 01/07  17:00:00,9.0875,2.7875,0
 01/07  18:00:00,8.525,3.5375,0
 01/07  19:00:00,7.9875,4.1,0
 01/07  20:00:00,7.425,3.7875,0
 01/07  21:00:00,6.8875,3.2875,0
 01/07  22:00:00,6.7,1.1625,0
 01/07  23:00:00,6.325,1.3125,0
 01/07  24:00:00,5.7875,0.7875,0
 01/08  01:00:00,5.6,0,0
 01/08  02:00:00,5.225,0.9375,0
 01/08  03:00:00,5,0.5625,0
 01/08  04:00:00,5,0.9375,0
 01/08  05:00:00,4.625,1.5,0
 01/08  06:00:00,4.4,1.875,0
 01/08  07:00:00,4.0875,2.1,0.74322432
 01/08  08:00:00,3.9,0.7875,1.48644864
 01/08  09:00:00,3.9625,0.9375,7.06063104
 01/08  10:00:00,6.375,1.875,7.06063104
 01/08  11:00:00,8.55,2.4125,7.06063104
 01/08  12:00:00,9.625,1.9125,7.06063104
 01/08  13:00:00,11.875,1.875,3.7161216
 01/08  14:00:00,12.375,0.7875,7.06063104
 01/08  15:00:00,13.25,0,7.06063104
 01/08  16:00:00,13.9375,0,7.06063104
 01/08  17:00:00,11.8375,1.9375,7.06063104
 01/08  18:00:00,11.2875,2.1,5.20257024
 01/08  19:00:00,10.6375,2.5,2.97289728
 01/08  20:00:00,9.3125,3.4125,2.97289728
 01/08  21:00:00,8.9,3.6,0.74322432
 01/08  22:00:00,9.2125,3.9125,0.74322432
 01/08  23:00:00,9.4,4.4125,0.37161216
 01/08  24:00:00,9.0875,4.2875,0.37161216
 01/09  01:00:00,8.2125,3.475,0
 01/09  02:00:00,9.175,3.1,0
 01/09  03:00:00,8.9375,1.1625,0
 01/09  04:00:00,6.925,1.625,0
 01/09  05:00:00,6.7875,3.5375,0
 01/09  06:00:00,6.8875,3.1625,0
 01/09  07:00:00,6.325,2.2875,0.74322432
 01/09  08:00:00,6.1,2.4125,1.48644864
 01/09  09:00:00,6.6625,3.5375,7.06063104
 01/09  10:00:00,7.125,2.475,7.06063104
 01/09  11:00:00,7.7,0.5625,7.06063104
 01/09  12:00:00,8,1.9375,7.06063104
 01/09  13:00:00,8.625,3.1,3.7161216
 01/09  14:00:00,9,2.1,7.06063104
 01/09  15:00:00,10.25,1.5,7.06063104
 01/09  16:00:00,10.8125,2.1875,7.06063104
 01/09  17:00:00,10.2625,3.225,7.06063104
 01/09  18:00:00,10,1.35,5.20257024
 01/09  19:00:00,9.625,0,2.97289728
 01/09  20:00:00,9.0875,0.9375,2.97289728
 01/09  21:00:00,8.525,1.875,0.74322432
 01/09  22:00:00,7.9875,1.725,0.74322432
 01/09  23:00:00,7.1125,3.125,0.37161216
 01/09  24:00:00,6.7,4.4125,0.37161216
 01/10  01:00:00,6.7,4.2875,0
 01/10  02:00:00,6.7,3.475,0
 01/10  03:00:00,6.325,3.4125,0
 01/10  04:00:00,6.1,3.2875,0
 01/10  05:00:00,6.1,3.4125,0
 01/10  06:00:00,6.1,2.975,0
 01/10  07:00:00,5.0375,0.975,0.74322432
 01/10  08:00:00,5.15,1.625,1.48644864
 01/10  09:00:00,6.35,3.4125,7.06063104
 01/10  10:00:00,6.8,2.9625,7.06063104
 01/10  11:00:00,6.9875,0.9,7.06063104
 01/10  12:00:00,7.35,0.8125,7.06063104
 01/10  13:00:00,8.0625,1.175,3.7161216
 01/10  14:00:00,8.3375,0.4125,7.06063104
 01/10  15:00:00,9.175,0,7.06063104
 01/10  16:00:00,9.8875,0.9375,7.06063104
 01/10  17:00:00,9.3125,2.5,7.06063104
 01/10  18:00:00,8.525,2.475,5.20257024
 01/10  19:00:00,7.9875,1.725,2.97289728
 01/10  20:00:00,7.425,1.875,2.97289728
 01/10  21:00:00,6.8875,3.0375,0.74322432
 01/10  22:00:00,6.7,4.225,0.74322432
 01/10  23:00:00,6.7,3.975,0.37161216
 01/10  24:00:00,6.7,2.2875,0.37161216
 01/11  01:00:00,6.0125,2.8125,0
 01/11  02:00:00,5.9125,3.9125,0
 01/11  03:00:00,5.7875,3.475,0
 01/11  04:00:00,4.5375,2.475,0
 01/11  05:00:00,4.5875,0.7875,0
 01/11  06:00:00,4.3125,0.9375,0
 01/11  07:00:00,4.5875,2.1875,0.74322432
 01/11  08:00:00,4.625,1.9125,1.48644864
 01/11  09:00:00,5.4,2.8125,7.06063104
 01/11  10:00:00,6.0625,3.9125,7.06063104
 01/11  11:00:00,6.0375,1.5375,7.06063104
 01/11  12:00:00,6.625,1.3125,7.06063104
 01/11  13:00:00,7.625,2.4125,3.7161216
 01/11  14:00:00,8,1.9125,7.06063104
 01/11  15:00:00,8.625,0.5625,7.06063104
 01/11  16:00:00,9.625,4.1875,7.06063104
 01/11  17:00:00,9.625,6.075,7.06063104
 01/11  18:00:00,9.4,6.0125,5.20257024
 01/11  19:00:00,9.775,5.2,2.97289728
 01/11  20:00:00,10,4.6,2.97289728
 01/11  21:00:00,10,7.225,0.74322432
 01/11  22:00:00,10,6.175,0.74322432
 01/11  23:00:00,10,3.975,0.37161216
 01/11  24:00:00,10,6.475,0.37161216
 01/12  01:00:00,10,5.6375,0
 01/12  02:00:00,10,4.4125,0
 01/12  03:00:00,8.9375,3.0375,0
 01/12  04:00:00,7.9875,2.4125,0
 01/12  05:00:00,7.425,1.9125,0
 01/12  06:00:00,6.8875,0.5625,0
 01/12  07:00:00,7.0125,0,0.74322432
 01/12  08:00:00,7.2,1.625,1.48644864
 01/12  09:00:00,6.8875,3.225,7.06063104
 01/12  10:00:00,7.0125,2.6625,7.06063104
 01/12  11:00:00,7.575,0.7875,7.06063104
 01/12  12:00:00,8.8,0,7.06063104
 01/12  13:00:00,10.15,1.625,3.7161216
 01/12  14:00:00,9.85,3.225,7.06063104
 01/12  15:00:00,11.8375,4.6,7.06063104
 01/12  16:00:00,11.925,7.7625,7.06063104
 01/12  17:00:00,10.4125,9.6125,7.06063104
 01/12  18:00:00,9.625,8.4875,5.20257024
 01/12  19:00:00,9.4,6.45,2.97289728
 01/12  20:00:00,9.4,5.7,2.97289728
 01/12  21:00:00,9.4,6.0125,0.74322432
 01/12  22:00:00,9.775,5.575,0.74322432
 01/12  23:00:00,10,4.2,0.37161216
 01/12  24:00:00,10,3.2875,0.37161216
 01/13  01:00:00,9.625,4.725,0
 01/13  02:00:00,9.4,6.0125,0
 01/13  03:00:00,9.4,5.2,0
 01/13  04:00:00,9.4,3.6625,0
 01/13  05:00:00,9.775,2.475,0
 01/13  06:00:00,9.625,3.0375,0
 01/13  07:00:00,9.4,3.6,0.74322432
 01/13  08:00:00,9.4,3.9125,0.74322432
 01/13  09:00:00,9.4,3.1625,3.7161216
 01/13  10:00:00,9.0875,2.2875,3.7161216
 01/13  11:00:00,10.275,2.4125,3.7161216
 01/13  12:00:00,11.475,2.9125,3.7161216
 01/13  13:00:00,11.8875,2.1,3.7161216
 01/13  14:00:00,11.4375,0.5625,3.7161216
 01/13  15:00:00,11.1,1.9375,0.74322432
 01/13  16:00:00,10.4125,2.475,0.74322432
 01/13  17:00:00,10,4.975,0.74322432
 01/13  18:00:00,10,6.3875,0
 01/13  19:00:00,10,6.2,0
 01/13  20:00:00,9.625,5.8875,0
 01/13  21:00:00,9.0875,3.075,0
 01/13  22:00:00,8.525,0.5625,0
 01/13  23:00:00,7.9875,0,0
 01/13  24:00:00,8.1125,2.5625,0
 01/14  01:00:00,7.9875,3.7875,0
 01/14  02:00:00,8.4875,2.2875,0
 01/14  03:00:00,8.2125,1.875,0
 01/14  04:00:00,8.1125,0.7875,0
 01/14  05:00:00,8.675,0.9375,0
 01/14  06:00:00,8.2125,2.1875,0
 01/14  07:00:00,7.425,2.6,0
 01/14  08:00:00,7.2,2.2875,0
 01/14  09:00:00,6.8875,1.725,0
 01/14  10:00:00,7.0125,0.5625,0
 01/14  11:00:00,7.575,0.9375,0
 01/14  12:00:00,8.8,2.5,0
 01/14  13:00:00,10.4625,1.1625,0
 01/14  14:00:00,10.7875,2.25,0
 01/14  15:00:00,10.6,2.6625,0
 01/14  16:00:00,10.9125,2.4125,0
 01/14  17:00:00,11.7875,3.225,0
 01/14  18:00:00,11.8875,1.35,0
 01/14  19:00:00,11.325,0.9375,0
 01/14  20:00:00,10.7875,2.1875,0
 01/14  21:00:00,10.9125,0.975,0
 01/14  22:00:00,11.475,1.625,0
 01/14  23:00:00,11.7,0.975,0
 01/14  24:00:00,11.0125,1.3125,0
 01/15  01:00:00,10.225,1.725,0
 01/15  02:00:00,10,1.875,0
 01/15  03:00:00,9.625,0.7875,0
 01/15  04:00:00,9.0875,0.9375,0
 01/15  05:00:00,9.2125,0.5625,0
 01/15  06:00:00,9.775,0,0
 01/15  07:00:00,10,0,0
 01/15  08:00:00,9.625,0.9375,0
 01/15  09:00:00,9.775,2.5,0
 01/15  10:00:00,10,4.0375,0
 01/15  11:00:00,11.0625,1.725,0
 01/15  12:00:00,11.7,1.625,0
 01/15  13:00:00,11.325,2.6,0
 01/15  14:00:00,11.475,1.9125,0
 01/15  15:00:00,12.7,0.5625,0
 01/15  16:00:00,12.9875,0,0
 01/15  17:00:00,12.8,1.9375,0
 01/15  18:00:00,12.1125,2.475,0
 01/15  19:00:00,12.7,2.725,0
 01/15  20:00:00,13.3,3.1,0
 01/15  21:00:00,12.6125,2.7875,0
 01/15  22:00:00,13.2625,6.475,0
 01/15  23:00:00,13.9,8.8,0
 01/15  24:00:00,13.9,6.8625,0
 01/16  01:00:00,13.525,5.3875,0
 01/16  02:00:00,13.3,5.5125,0
 01/16  03:00:00,12.9875,5.3875,0
 01/16  04:00:00,12.8,4.2,0
 01/16  05:00:00,12.425,2.6625,0
 01/16  06:00:00,12.2,1.725,0
 01/16  07:00:00,12.2,2.1875,0.74322432
 01/16  08:00:00,12.2,2.6,1.48644864
 01/16  09:00:00,12.2,2.6,7.06063104
 01/16  10:00:00,12.2,3.225,7.06063104
 01/16  11:00:00,13.2625,2.6625,7.06063104
 01/16  12:00:00,14.2125,3.0375,7.06063104
 01/16  13:00:00,14.4,4.225,3.7161216
 01/16  14:00:00,13.7125,4.975,7.06063104
 01/16  15:00:00,12.9875,4.5125,7.06063104
 01/16  16:00:00,12.425,3.7875,7.06063104
 01/16  17:00:00,12.2,4.9125,7.06063104
 01/16  18:00:00,11.8875,4.075,5.20257024
 01/16  19:00:00,11.325,1.1625,2.97289728
 01/16  20:00:00,10.7875,1.9375,2.97289728
 01/16  21:00:00,10.9125,2.475,0.74322432
 01/16  22:00:00,11.475,1.725,0.74322432
 01/16  23:00:00,11.325,0.5625,0.37161216
 01/16  24:00:00,11.1,0,0.37161216
 01/17  01:00:00,11.1,0,0
 01/17  02:00:00,10.7875,1.9375,0
 01/17  03:00:00,10.6,2.475,0
 01/17  04:00:00,10.6,1.725,0
 01/17  05:00:00,11.2875,3.125,0
 01/17  06:00:00,11.325,1.5375,0
 01/17  07:00:00,11.475,2.5625,0.74322432
 01/17  08:00:00,11.325,3.7875,1.48644864
 01/17  09:00:00,11.7875,3.6,7.06063104
 01/17  10:00:00,13.2625,2.975,7.06063104
 01/17  11:00:00,14.2125,3.5375,7.06063104
 01/17  12:00:00,14.4,4.1,7.06063104
 01/17  13:00:00,14.4,4.4125,3.7161216
 01/17  14:00:00,14.4,4.6,7.06063104
 01/17  15:00:00,14.0875,5.9125,7.06063104
 01/17  16:00:00,13.9,6.075,7.06063104
 01/17  17:00:00,13.525,3.7625,7.06063104
 01/17  18:00:00,12.9875,3.5375,5.20257024
 01/17  19:00:00,12.8,5.1,2.97289728
 01/17  20:00:00,12.425,6.325,2.97289728
 01/17  21:00:00,12.575,7.6375,0.74322432
 01/17  22:00:00,12.8,6.6375,0.74322432
 01/17  23:00:00,12.8,6.0125,0.37161216
 01/17  24:00:00,12.8,6.2,0.37161216
 01/18  01:00:00,12.8,5.575,0
 01/18  02:00:00,12.8,5.5125,0
 01/18  03:00:00,13.1125,5.0125,0
 01/18  04:00:00,13.3,4.2875,0
 01/18  05:00:00,13.3,3.7875,0
 01/18  06:00:00,13.3,2.2875,0
 01/18  07:00:00,12.6125,1.875,0.74322432
 01/18  08:00:00,12.575,1.725,1.48644864
 01/18  09:00:00,12.8,2.1875,7.06063104
 01/18  10:00:00,12.8,2.2875,7.06063104
 01/18  11:00:00,13.1125,3.0375,7.06063104
 01/18  12:00:00,12.9875,3.9125,7.06063104
 01/18  13:00:00,12.1125,3.475,3.7161216
 01/18  14:00:00,12.0125,3.725,7.06063104
 01/18  15:00:00,12.575,3.1625,7.06063104
 01/18  16:00:00,13.1125,1.9125,7.06063104
 01/18  17:00:00,12.3,1.875,7.06063104
 01/18  18:00:00,11.7,0.7875,5.20257024
 01/18  19:00:00,11.7,1.625,2.97289728
 01/18  20:00:00,12.0125,2.6,2.97289728
 01/18  21:00:00,12.2,1.9125,0.74322432
 01/18  22:00:00,12.575,1.5,0.74322432
 01/18  23:00:00,13.1125,3.4375,0.37161216
 01/18  24:00:00,12.9875,3.0375,0.37161216
 01/19  01:00:00,12.8,2.725,0
 01/19  02:00:00,12.425,4.4125,0
 01/19  03:00:00,12.8875,4.2,0
 01/19  04:00:00,13.3,3.6,0
 01/19  05:00:00,13.3,2.975,0
 01/19  06:00:00,12.9875,3.225,0
 01/19  07:00:00,12.425,3.6,0.74322432
 01/19  08:00:00,12.2,1.35,1.48644864
 01/19  09:00:00,11.8875,0,7.06063104
 01/19  10:00:00,13.075,1.625,7.06063104
 01/19  11:00:00,14.2125,4.85,7.06063104
 01/19  12:00:00,13.7125,4.2625,7.06063104
 01/19  13:00:00,15.425,4.725,3.7161216
 01/19  14:00:00,16.0125,5.7,7.06063104
 01/19  15:00:00,14.85,5.3875,7.06063104
 01/19  16:00:00,14.0875,4.5125,7.06063104
 01/19  17:00:00,14.2125,6.0375,7.06063104
 01/19  18:00:00,14.0875,6.8875,5.20257024
 01/19  19:00:00,13.525,5.3875,2.97289728
 01/19  20:00:00,12.6125,4.2875,2.97289728
 01/19  21:00:00,12.8875,6.35,0.74322432
 01/19  22:00:00,13.675,6.7625,0.74322432
 01/19  23:00:00,13.9,6.825,0.37161216
 01/19  24:00:00,13.525,6.2625,0.37161216
 01/20  01:00:00,13.675,5.7,0
 01/20  02:00:00,13.9,7.2625,0
 01/20  03:00:00,13.525,7.575,0
 01/20  04:00:00,13.3,7.825,0
 01/20  05:00:00,13.3,8.575,0
 01/20  06:00:00,13.3,7.4875,0
 01/20  07:00:00,13.3,6.075,0.74322432
 01/20  08:00:00,12.9875,4.075,0.74322432
 01/20  09:00:00,13.1125,3.725,3.7161216
 01/20  10:00:00,13.3,5.1,3.7161216
 01/20  11:00:00,13.675,5.3875,3.7161216
 01/20  12:00:00,13.2125,6.7625,3.7161216
 01/20  13:00:00,13.1125,7.075,3.7161216
 01/20  14:00:00,12.6125,9.575,3.7161216
 01/20  15:00:00,12.2,10.9875,0.74322432
 01/20  16:00:00,12.8875,8.2375,0.74322432
 01/20  17:00:00,13.3,6.075,0.74322432
 01/20  18:00:00,12.9875,6.325,0
 01/20  19:00:00,12.8,7.0125,0
 01/20  20:00:00,12.8,7.5125,0
 01/20  21:00:00,12.425,7.3875,0
 01/20  22:00:00,12.2,7.2,0
 01/20  23:00:00,12.2,7.825,0
 01/20  24:00:00,12.2,7.8875,0
 01/21  01:00:00,11.8875,7.075,0
 01/21  02:00:00,11.7,7.0125,0
 01/21  03:00:00,11.7,7.2,0
 01/21  04:00:00,11.325,5.95,0
 01/21  05:00:00,11.1,4.825,0
 01/21  06:00:00,10.7875,3.6625,0
 01/21  07:00:00,10.225,2.1,0
 01/21  08:00:00,10,2.1875,0
 01/21  09:00:00,10.6875,2.2875,0
 01/21  10:00:00,11.7875,1.725,0
 01/21  11:00:00,12.575,1.5,0
 01/21  12:00:00,12.8,3.4375,0
 01/21  13:00:00,13.1125,5.2875,0
 01/21  14:00:00,13.3,5.3875,0
 01/21  15:00:00,13.3,5.5125,0
 01/21  16:00:00,12.9875,5.0125,0
 01/21  17:00:00,12.8,3.6625,0
 01/21  18:00:00,12.1125,3.1,0
 01/21  19:00:00,11.325,3.4125,0
 01/21  20:00:00,11.1,1.35,0
 01/21  21:00:00,10.7875,0.9375,0
 01/21  22:00:00,10.6,0.5625,0
 01/21  23:00:00,10.6,1.3125,0
 01/21  24:00:00,10.225,1.725,0
 01/22  01:00:00,10.375,1.875,0
 01/22  02:00:00,10.6,2.725,0
 01/22  03:00:00,10.6,2.475,0
 01/22  04:00:00,10.6,0.7875,0
 01/22  05:00:00,10.225,0,0
 01/22  06:00:00,10,0,0
 01/22  07:00:00,10,0.9375,0.74322432
 01/22  08:00:00,10.375,0.5625,1.48644864
 01/22  09:00:00,10.6,0.9375,7.06063104
 01/22  10:00:00,10.9125,2.8125,7.06063104
 01/22  11:00:00,11.7875,3.6,7.06063104
 01/22  12:00:00,13.2625,4.9125,7.06063104
 01/22  13:00:00,13.9,7.2625,3.7161216
 01/22  14:00:00,13.2125,8.575,7.06063104
