Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1 LIGHTS:Lights Electric Power [W](Hourly),ZONE1:Zone Lights Total Heat Gain [J](Hourly),ZONE1 EQUIP:Electric Equipment Electric Power [W](Hourly),ZONE1:Zone Electric Equipment Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1_FACE_1_WINDOW_2:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_2:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_2:Window Heat Loss [W](Hourly),ZONE1_FACE_4_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_4_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_4_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly),ZONE1:Zone Air Balance Surface Convection Rate [W](Hourly),ZONE1:Zone Infiltration Total Heat Loss [J](Hourly),ZONE1:Zone Infiltration Total Heat Gain [J](Hourly),ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),ZONE1:Zone Ventilation Total Heat Loss [J](Hourly),ZONE1:Zone Ventilation Total Heat Gain [J](Hourly),ZONE1:Zone Ventilation Air Change Rate [ach](Hourly),ZONE1:Zone Ventilation Fan Electric Consumption [J](Hourly),ZONE1:Zone/Sys Sensible Heating Energy [J](Hourly),ZONE1:Zone/Sys Sensible Cooling Energy [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,7.0125,0.975,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,149.931366554499,0.0,0.0,0.0,51.0757024083314,0.0,0.0,48.914277916771,0.0,0.0,49.9413862293968,16.6138782552674,15.7400687409226,16.176973498095,333.607440884753,1120047.61588461,0.0,0.515626223418236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  02:00:00,7.2,1.3125,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,142.327864211423,0.0,0.0,0.0,48.4419676690575,0.0,0.0,46.5743253940369,0.0,0.0,47.3115711483288,16.4563673630669,15.6278193697052,16.042093366386,320.907862557493,1072744.59356129,0.0,0.515081877134949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  03:00:00,6.8875,2.1,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,144.392283085886,0.0,0.0,0.0,49.1052714843397,0.0,0.0,47.4104593866127,0.0,0.0,47.8765522149331,16.3025834841948,15.4717721466504,15.8871778154226,325.261665691903,1200061.76936904,0.0,0.51534242132402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  04:00:00,6.325,1.725,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,153.073371701294,0.0,0.0,0.0,52.1521748207286,0.0,0.0,50.0590705316216,0.0,0.0,50.8621263489433,16.1455592835905,15.2836216145314,15.7145904490609,340.642875663517,1294397.8541201,0.0,0.51603024565703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  05:00:00,5.0375,2.5,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,166.840635205574,0.0,0.0,0.0,56.7119862276003,0.0,0.0,54.9070972742597,0.0,0.0,55.2215517037137,15.9809697780892,15.051740991326,15.5163553847076,370.173580044339,1525564.60319879,0.0,0.517978466756734,0.0,0.0,0.0,0.0,51096.5953611128,0.0,51096.5953611128,0.0,13378.03776,80268.2265600001 
 01/01  06:00:00,4.4,2.475,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,171.39532924462,0.0,0.0,0.0,58.2088267939928,0.0,0.0,56.5477551685954,0.0,0.0,56.6387472820317,15.8526664215822,15.0000000000521,15.4263332108171,345.141272197512,1623083.97363544,0.0,0.519070716814598,0.0,0.0,0.0,0.0,261754.936366581,0.0,261754.936366581,0.0,13378.03776,80268.2265600001 
 01/01  07:00:00,5.4625,0.7875,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,156.135472250378,0.0,0.0,0.0,53.1098496207012,0.0,0.0,51.2046939687105,0.0,0.0,51.8209286609664,15.7869849233398,15.,15.3934924616699,322.765617056344,1403442.59650175,0.0,0.517112973472766,0.0,0.0,0.0,0.0,181807.920354799,0.0,181807.920354799,0.0,13378.03776,80268.2265600001 
 01/01  08:00:00,5.4125,0.0,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,223.055550712803,76.7476081883396,728074.246836958,42.1871100890924,63.7596855374571,26.1123073729602,45.5029956144352,70.8305121642965,25.1337003921597,63.4577318037458,88.4653530110497,25.5016004232197,15.9398683506854,15.0784091461855,15.5091387484355,361.442546709258,1498363.60815074,0.0,0.51731960938565,0.0,0.0,0.0,0.0,102020.367691909,0.0,102020.367691909,0.0,13378.03776,80268.2265600001 
 01/01  09:00:00,6.75,0.0,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,1349.22388787031,0.0,3663390.28468048,291.571380798627,493.927657142076,0.0,291.571380798628,492.118245398349,0.0,235.950062944017,363.177985329888,0.0,17.1166050845473,16.1895112801791,16.6530581823632,458.461670184252,1345286.39704799,0.0,0.517026636901295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  10:00:00,8.4875,0.0,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,1992.54935855014,0.0,5270571.57980145,501.720591391426,847.555931257165,0.0,468.288579387817,788.039202152614,0.0,216.911058034508,356.954225140357,0.0,18.3078067020322,17.6221806699086,17.9649936859704,413.91207918713,1118707.45104364,0.0,0.516365495919324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  11:00:00,9.2125,0.9375,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,2041.78780892561,0.0,5397662.76014976,587.251309328836,1018.96619233213,0.0,457.102612434779,795.81334714278,0.0,111.156321194014,227.008269450703,0.0,19.0446658697194,18.4477545272114,18.7462101984654,379.387996630488,1115114.69797664,0.0,0.516428478093748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  12:00:00,9.775,1.5,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,1731.72383179252,0.0,4706099.74707978,534.735676709923,975.385127631235,0.0,373.251227250351,688.431158202013,0.0,19.922627254995,67.9075459592682,0.0,19.3583635946306,18.7015296893466,19.0299466419886,351.360286530936,1129540.62784934,0.0,0.515828866575138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  13:00:00,10.375,1.5,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,1658.21824894797,0.0,4511093.22369203,527.333852362564,965.798435818491,0.0,361.698050955724,671.009465969275,0.0,8.838946044734378E-003,21.4103471602059,0.0,19.7647800356269,19.0472966477447,19.4060383416858,351.385157332128,1104580.90520995,0.0,0.515342052909944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  14:00:00,10.9125,0.5625,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,1602.99203043116,0.0,4353204.19476753,500.564058061709,909.198290118191,0.0,369.703022033312,676.684526759373,0.0,0.0,17.1092135535933,0.0,20.2180723869029,19.48032421759,19.8491983022465,342.652018271934,1081004.39384953,0.0,0.515131297475397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  15:00:00,12.85,0.0,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,870.316613753597,0.0,2461174.95691606,250.130135905523,461.675140951986,0.0,212.888058701054,394.076599805256,0.0,0.0,14.5648729963554,0.0,20.0446095034322,19.4332158812218,19.738912692327,231.985560539273,1078974.31649254,0.0,0.511462453265504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  16:00:00,13.9,1.9375,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,60.7410384268959,5.43028576752246,387519.657701945,8.84164676572731,28.4696888320348,1.52696201176659,8.84164676572731,26.5770448743016,1.64322870339819,0.0,5.69430472055949,2.26009505235768,19.3161369700072,18.7744207416316,19.0452788558194,147.226949087931,1024110.11108964,0.0,0.508372620522631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  17:00:00,12.15,3.1,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,107.354710963343,24290.6669914847,0.0,0.0,36.5316991737535,0.0,0.0,34.686419073718,0.0,0.0,36.1365927158719,18.8702992941763,18.1644603900835,18.5173798421299,194.538331417395,852889.363330127,0.0,0.51054447752632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  18:00:00,11.1,2.1,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,124.927340755972,0.0,0.0,0.0,42.660328277519,0.0,0.0,40.5287735054706,0.0,0.0,41.7382389729821,18.5076414494057,17.7186171640381,18.1131293067219,236.801140944861,903471.170368016,0.0,0.511656737596698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  19:00:00,10.7875,1.5,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,126.209460304584,0.0,0.0,0.0,43.1751512150328,0.0,0.0,40.8546746498535,0.0,0.0,42.1796344396977,18.2040119272664,17.4333059128822,17.8186589200743,238.063366227111,1140305.10152298,0.0,0.511636416603375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  20:00:00,10.6,1.875,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,124.406793437628,0.0,0.0,0.0,42.6006742477121,0.0,0.0,40.2646774660286,0.0,0.0,41.5414417238875,17.9078338467531,17.1665476622351,17.5371907544941,237.825663095708,1103298.13245256,0.0,0.511513856906392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  21:00:00,9.5375,2.1,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,134.760550244715,0.0,0.0,0.0,46.1295795495655,0.0,0.0,43.7150794724222,0.0,0.0,44.9158912227274,17.6122778040631,16.8285634957216,17.2204206498923,260.471014365414,1153759.17533723,0.0,0.512860065169124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  22:00:00,9.2125,2.1,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,134.316317260337,0.0,0.0,0.0,45.9345842331452,0.0,0.0,43.6201344463164,0.0,0.0,44.761598580875,17.3257995147302,16.547007626466,16.9364035705981,272.733741209093,1167914.11753542,0.0,0.512948567625301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  23:00:00,8.4,1.725,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,142.137186910122,0.0,0.0,0.0,48.5797707223364,0.0,0.0,46.1263883677301,0.0,0.0,47.4310278200553,17.0859276978778,16.27890942007,16.6824185589739,287.816538838392,1128653.26783177,0.0,0.513995708176472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/01  24:00:00,7.1125,2.1875,0.0,0.0,3.7161216,13378.03776,22.2967296,80268.2265600001,0.0,154.808628577064,0.0,0.0,0.0,52.7719846081419,0.0,0.0,50.4795921362533,0.0,0.0,51.5570518326688,16.8209265090794,15.9326602489059,16.3767933789927,328.526410032932,1229521.72603037,0.0,0.515752736467163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,80268.2265600001 
 01/02  01:00:00,8.075,2.2875,0.0,0.0,3.7161216,13378.03776,29.7289728,107024.30208,0.0,138.181714113418,0.0,0.0,0.0,47.1079308273949,0.0,0.0,44.9529247389089,0.0,0.0,46.1208585471145,16.6348220967453,15.8566982401462,16.2457601684458,299.67994480258,946952.523413098,0.0,0.513899021639434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,107024.30208 
 01/02  02:00:00,7.15,0.7875,0.0,0.0,3.7161216,13378.03776,29.7289728,107024.30208,0.0,148.619545024007,0.0,0.0,0.0,50.6244221128213,0.0,0.0,48.4075347692381,0.0,0.0,49.5875881419473,16.4897904697497,15.6740025979823,16.081896533866,309.093196055322,1271408.67232902,0.0,0.515196020777703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,107024.30208 
 01/02  03:00:00,5.7875,0.0,0.0,0.0,3.7161216,13378.03776,29.7289728,107024.30208,0.0,161.810426406585,0.0,0.0,0.0,55.0769784829393,0.0,0.0,52.8116118362272,0.0,0.0,53.9218360874185,16.2631368297749,15.3425750144099,15.8028559220924,359.859462419323,1484594.83995597,0.0,0.51709532189948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378.03776,107024.30208 
 01/02  04:00:00,4.5375,0.0,0.0,0.0,3.7161216,13378.03776,29.7289728,107024.30208,0.0,173.453630147705,0.0,0.0,0.0,58.9850122935999,0.0,0.0,56.994878805714,0.0,0.0,57.4737390483915,16.058838534798,15.0753488391143,15.5670936869562,390.489501746691,1664797.94417854,0.0,0.518932474392914,0.0,0.0,0.0,0.0,35655.645326602,0.0,35655.645326602,0.0,13378.03776,107024.30208 
 01/02  05:00:00,4.9625,0.9375,0.0,0.0,3.7161216,13378.03776,29.7289728,107024.30208,0.0,167.068960048277,0.0,0.0,0.0,56.8803225466756,0.0,0.0,54.6716313719622,0.0,0.0,55.5170061296392,15.9008847433066,15.0000000142462,15.4504423787764,366.192495456254,1495573.20748325,0.0,0.518036358940855,0.0,0.0,0.0,0.0,85923.75282572,0.0,85923.75282572,0.0,13378.03776,107024.30208 
 01/02  06:00:00,6.6,2.5,0.0,0.0,7.43224320000001,26756.07552,29.7289728,107024.30208,0.0,180.597618653192,0.0,0.0,0.0,61.6807607314156,0.0,0.0,59.4577636258183,0.0,0.0,59.4590942959585,17.4562763445801,21.909875153178,19.683075748879,-2090.03245509049,2148624.68233459,0.0,0.527438703069255,0.0,0.0,0.0,0.0,11040126.0831748,0.0,11040126.0831748,0.0,26756.07552,107024.30208 
 01/02  07:00:00,7.575,3.725,0.743224320000001,321072.90624,7.43224320000001,26756.07552,29.7289728,107024.30208,0.0,188.980864758283,0.0,0.0,0.0,64.4717891311567,0.0,0.0,62.4567217165176,0.0,0.0,62.0523539106088,18.4877297076662,21.9999981804516,20.2438639440589,-1753.678476243,2098060.16568383,0.0,0.525687538066421,12588329.2626053,0.0,3.15412522839853,453069.545472,20682859.6824687,0.0,20682859.6824687,0.0,26756.07552,107024.30208 
 01/02  08:00:00,7.425,5.1,1.48644864,642145.812480001,22.2967296,80268.2265600001,29.7289728,107024.30208,181.043475438016,95.5600082271784,674997.602963753,37.1479884976919,50.8644270150727,32.5791880978132,40.0334046804428,57.0315191563117,31.6510994519643,55.9746064601113,73.147529266632,31.3297206774009,18.9504500050452,21.9999999901419,20.4752249975936,-1470.07742817642,2103235.25881209,0.0,0.525974838744122,25238814.8839171,0.0,6.31169806492946,906139.090944001,32288167.2380963,0.0,32288167.2380963,0.0,80268.2265600001,107024.30208 
 01/02  09:00:00,9.325,6.0125,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,1168.47095770222,0.0,3299637.12798511,251.244661589283,429.267350165197,0.0,251.244661589284,426.260182830289,0.0,202.843240316867,312.94342470673,0.0,20.1033623822483,21.999999999867,21.0516811910577,-855.859237194045,1852762.80481966,0.0,0.522429982973875,105607096.097631,0.0,29.7785090295109,4304160.681984,106993472.715303,0.0,106993472.715303,0.0,240804.67968,240804.67968 
 01/02  10:00:00,11.2875,5.575,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,1776.46259510406,0.0,4787972.91434046,434.320841909765,754.268817521308,0.0,406.267145409765,700.213049065301,0.0,189.227742363649,321.980728517454,0.0,20.9289846381102,21.9999999999974,21.4644923190538,-421.308090064397,1541094.82975892,0.0,0.518826804986644,87842330.2589042,0.0,29.5731278842387,4304160.681984,88452428.5054793,0.0,88452428.5054793,0.0,240804.67968,240804.67968 
 01/02  11:00:00,13.075,4.2,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,1766.05512345459,0.0,4685438.18619901,479.516935834227,877.162176862565,0.0,371.911030501602,683.061895496066,0.0,88.7365428548063,205.831051095961,0.0,21.2691677542548,22.0000000000004,21.6345838771276,-245.386498932927,1296655.60911708,0.0,0.51558195563194,73909039.7571573,0.0,29.3881714710206,4304160.681984,72588877.0657979,0.0,72588877.0657979,0.0,240804.67968,240804.67968 
 01/02  12:00:00,13.9,3.9125,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,2017.01241255154,0.0,5369303.17605639,647.381722742682,1138.36884360279,0.0,451.375825929878,805.682895680967,0.0,22.9082547413396,72.9606732677873,0.0,21.7785666773006,22.,21.8892833386503,-5.59500772086008,1152812.94397215,0.0,0.514105854765908,65710302.0742311,0.0,29.3040337216568,4304160.681984,64706298.1988363,0.0,64706298.1988363,0.0,240804.67968,240804.67968 
 01/02  13:00:00,13.9,1.5375,3.7161216,1605364.5312,66.8901888000001,240804.67968,59.4579456000001,214048.60416,1927.36486807208,0.0,5146731.87777999,638.218262213026,1123.83627708211,0.0,437.377666899541,782.444903172326,0.0,1.153858672163407E-002,21.0836878176426,0.0,22.0447598928018,22.0000000000003,22.022379946401,102.45224529433,1144951.26556106,0.0,0.514108293311755,34348534.9733624,0.0,15.4232487993526,2265347.72736,34097021.2884584,0.0,34097021.2884584,0.0,240804.67968,214048.60416 
 01/02  14:00:00,13.9,1.3125,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,1379.42984692816,0.0,3747819.34975138,389.598678030447,770.860876782457,0.0,287.334202159841,574.628148285074,0.0,0.0,33.9408218606325,0.0,22.0302622326798,22.,22.0151311163399,44.1402706232612,1150272.12132723,0.0,0.514106020745044,65565481.5508871,0.0,29.3040431824675,4304160.681984,64407340.9881838,0.0,64407340.9881838,0.0,240804.67968,240804.67968 
 01/02  15:00:00,12.8375,2.1,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,715.714551634613,0.0,2124780.81051302,198.861019742398,381.201914880699,0.0,169.482690859072,323.209277856139,0.0,0.0,11.3033588977746,0.0,21.754123952228,22.,21.877061976114,-72.0222311492585,1262638.83014242,0.0,0.5160324359775,71970075.8586688,0.0,29.4138488507175,4304160.681984,73780241.9865707,0.0,73780241.9865707,0.0,240804.67968,240804.67968 
 01/02  16:00:00,12.575,2.725,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,39.8631211949828,17.3442814055215,391799.94506246,7.72200104464024,20.2610963361464,4.92052286817752,7.72200104464023,18.2172627370238,5.75870357458202,0.0,1.38476212181253,6.66505496276198,21.1790395065424,22.0000000000005,21.5895197532714,-253.015289745425,1376920.81773728,0.0,0.516478179882937,78483870.171867,0.0,29.4392562533274,4304160.681984,76647948.4421297,0.0,76647948.4421297,0.0,240804.67968,240804.67968 
 01/02  17:00:00,11.7375,3.725,7.06063104000001,3050192.60928,66.8901888000001,240804.67968,66.8901888000001,240804.67968,0.0,136.605899847462,25592.5682947952,0.0,0.0,46.3824828829611,0.0,0.0,44.8747412891959,0.0,0.0,45.3486756753053,20.9148840663393,22.0000000000001,21.4574420331697,-357.205849340825,1451135.63925917,0.0,0.518014816478279,82714702.3544583,0.0,29.5268445392619,4304160.681984,84098645.9550912,0.0,84098645.9550912,0.0,240804.67968,240804.67968 
 01/02  18:00:00,10.7875,1.5375,5.20257024,2247510.34368,52.0257024,187292.52864,59.4579456000001,214048.60416,0.0,157.867291072681,0.0,0.0,0.0,53.8403296087051,0.0,0.0,51.8064011726086,0.0,0.0,52.2205602913667,20.7132593789564,22.,21.3566296894782,-445.56040583328,1619175.44686711,0.0,0.519736844546389,68005239.7928619,0.0,21.8289474709483,3171486.818304,69021777.5070983,0.0,69021777.5070983,0.0,187292.52864,214048.60416 
 01/02  19:00:00,11.2875,0.0,2.97289728,1284291.62496,37.161216,133780.3776,44.5934592,160536.45312,0.0,154.013908064611,0.0,0.0,0.0,52.6570962098154,0.0,0.0,50.1512968555117,0.0,0.0,51.2055149992841,20.5182118719292,22.0000000000005,21.2591059359648,-537.090851410902,1582532.11924432,0.0,0.518810570542194,37980307.8851237,0.0,12.4514536930126,1812278.181888,39275114.2603413,0.0,39275114.2603413,0.0,133780.3776,160536.45312 
 01/02  20:00:00,11.7,0.9375,2.97289728,1284291.62496,37.161216,133780.3776,44.5934592,160536.45312,0.0,119.861542963799,0.0,0.0,0.0,40.8784073432285,0.0,0.0,38.4450345106719,0.0,0.0,40.5381011098986,18.9037071599531,15.0818325270256,16.9927698434894,1721.24609989003,497625.393198782,0.0,0.50598168980787,11943797.0426489,0.0,12.1435605553889,1812278.181888,4099571.94673855,0.0,4099571.94673855,0.0,133780.3776,160536.45312 
 01/02  21:00:00,10.6375,1.5,0.743224320000001,321072.90624,22.2967296,80268.2265600001,37.161216,133780.3776,0.0,116.313166650326,0.0,0.0,0.0,39.6848883913899,0.0,0.0,37.3448774723518,0.0,0.0,39.2834007865843,17.8300081442609,15.2272290665009,16.5286186053809,1170.5207629742,605820.775598156,0.0,0.508140578016369,3634674.35559556,0.0,3.04884346809822,453069.545472,111461.017910777,0.0,111461.017910777,0.0,80268.2265600001,133780.3776 
 01/02  22:00:00,9.3125,0.5625,0.743224320000001,321072.90624,22.2967296,80268.2265600001,37.161216,133780.3776,0.0,126.492270767124,0.0,0.0,0.0,43.0956434960194,0.0,0.0,40.7744219606478,0.0,0.0,42.6222053104568,17.313181405904,15.0000016184875,16.1565915121957,1025.89964712371,786381.261966288,0.0,0.510078207921506,4718262.41213348,0.0,3.06046924752904,453069.545472,1713341.79342911,0.0,1713341.79342911,0.0,80268.2265600001,133780.3776 
 01/02  23:00:00,9.2125,0.0,0.37161216,160536.45312,7.43224320000001,26756.07552,29.7289728,107024.30208,0.0,124.877419411213,0.0,0.0,0.0,42.5877555756366,0.0,0.0,40.3111774806473,0.0,0.0,41.978486354929,16.9943898164116,15.0015887217526,15.9979892690821,860.703256990431,846619.223629249,0.0,0.510245612204735,2539851.06077008,0.0,1.5307368366142,226534.772736,58309.1051584324,0.0,58309.1051584324,0.0,26756.07552,107024.30208 
