Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),LOWER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),UPPER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),LOWER_ZONE:Zone People Number Of Occupants [](Hourly),LOWER_ZONE:Zone People Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Lights Electric Consumption [J](Hourly),LOWER_ZONE:Zone Lights Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Electric Equipment Electric Consumption [J](Hourly),LOWER_ZONE:Zone Electric Equipment Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Transmitted Solar Energy[J](Hourly),UPPER_ZONE:Zone Transmitted Solar Energy[J](Hourly),LOWER_ZONE:Zone Mean Air Temperature [C](Hourly),LOWER_ZONE:Zone Operative Temperature [C](Hourly),LOWER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),UPPER_ZONE:Zone Mean Air Temperature [C](Hourly),UPPER_ZONE:Zone Operative Temperature [C](Hourly),UPPER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),LOWER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),UPPER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Loss [J](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Ventilation Air Change Rate [ach](Hourly),LOWER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),LOWER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),PV_SURFACE:PV Generator DC Energy [J](Hourly),WT1:Wind Turbine Electric Energy Produced [J](Hourly),WT2:Wind Turbine Electric Energy Produced [J](Hourly) 
 01/21  01:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.56227131,-103.5902719,12.26823964,12.73810307,175.558408,0.522881286,0.516992785,0,0,0,1933984.336,0,0,0,0,0,0
 01/21  02:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.51566443,-136.6709084,12.20465692,12.67236897,174.5613592,0.522874104,0.516877614,0,0,0,2053074.627,0,0,0,0,0,0
 01/21  03:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.47583827,-163.6726411,12.1474063,12.6131284,173.666928,0.522868189,0.516773913,0,0,0,2150280.865,0,0,0,0,0,0
 01/21  04:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.44085613,-186.1475763,12.09515143,12.55902343,172.8549096,0.522863389,0.516679261,0,0,0,2231190.632,0,0,0,0,0,0
 01/21  05:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,15.6,15.40932977,-204.9248506,12.04707589,12.50910012,172.0572663,0.522859506,0.516592179,0,0,0,2298788.819,0,0,0,0,0,0
 01/21  06:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,21.10804468,18.82069856,-1800.91254,12.34083761,12.82417091,198.5916706,0.532886736,0.517227544,0,0,0,10345979.06,0,0,0,0,0,0
 01/21  07:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,21.00000019,19.01434889,-1784.021677,12.61060568,13.06293874,186.5643362,0.532494906,0.51761293,0,0,0,8646186.159,0,0,0,0,0,0
 01/21  08:00:00,2.9,2.2,0,0,0,0,0,0,0,0,0,0,21,19.12466942,-1665.16566,12.68741019,13.14160531,188.4817605,0.53248765,0.51775205,0,0,0,8219456.874,0,0,0,0,0,0
 01/21  09:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.23972339,-1541.2809,12.76696063,13.22221885,190.2678196,0.532547199,0.517896144,4177191.351,0,0.798793669,4588505.537,0,0,0,0,0,0
 01/21  10:00:00,2.9,2.2,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,21,19.29404327,-1481.325522,12.81881517,13.27350811,190.0167995,0.532589598,0.51799007,4025701.866,0,0.798857266,4372666.176,0,0,0,0,0,0
