Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1 LIGHTS:Lights Electric Power [W](Hourly),ZONE1:Zone Lights Total Heat Gain [J](Hourly),ZONE1 EQUIP:Electric Equipment Electric Power [W](Hourly),ZONE1:Zone Electric Equipment Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1_FACE_1_WINDOW_2:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_2:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_2:Window Heat Loss [W](Hourly),ZONE1_FACE_4_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_4_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_4_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly),ZONE1:Zone Air Balance Surface Convection Rate [W](Hourly),ZONE1:Zone Infiltration Total Heat Loss [J](Hourly),ZONE1:Zone Infiltration Total Heat Gain [J](Hourly),ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),ZONE1:Zone Ventilation Total Heat Loss [J](Hourly),ZONE1:Zone Ventilation Total Heat Gain [J](Hourly),ZONE1:Zone Ventilation Air Change Rate [ach](Hourly),ZONE1:Zone Ventilation Fan Electric Consumption [J](Hourly),ZONE1:Zone/Sys Sensible Heating Energy [J](Hourly),ZONE1:Zone/Sys Sensible Cooling Energy [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,9.375,0.5625,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,131.267636358872,0.0,0.0,0.0,44.7603744182119,0.0,0.0,42.6816485640795,0.0,0.0,43.8256133765811,17.6022374588411,16.9563218420604,17.2792796504508,219.861923770608,749200.12126692,0.0,0.513535917143088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  02:00:00,9.625,1.625,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,119.402209458813,0.0,0.0,0.0,40.7012973694657,0.0,0.0,38.9345996698285,0.0,0.0,39.7663124195185,17.2162360829484,16.6410482188267,16.9286421508875,207.992277640515,669112.307714175,0.0,0.512523669958083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  03:00:00,10.,2.6,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,110.79769519261,0.0,0.0,0.0,37.8120146886695,0.0,0.0,36.1005282990328,0.0,0.0,36.8851522049079,16.9295147816463,16.442284755935,16.6858997687907,184.334565903095,718111.641990018,0.0,0.511447401300239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  04:00:00,9.375,2.2875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,118.436344771081,0.0,0.0,0.0,40.4559762464917,0.0,0.0,38.4765677611953,0.0,0.0,39.5038007633936,16.6907045116011,16.1787301832948,16.434717347448,194.848142501635,860818.799561625,0.0,0.512081550143986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  05:00:00,8.9375,2.2875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,122.162862177508,0.0,0.0,0.0,41.7262256354431,0.0,0.0,39.6843768853255,0.0,0.0,40.7522596567399,16.4668955189845,15.9305163300352,16.1987059245099,207.734766092298,1008814.20269232,0.0,0.512394021066423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  06:00:00,8.8375,2.65,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,122.374300183309,0.0,0.0,0.0,41.8207479348365,0.0,0.0,39.6938672275406,0.0,0.0,40.8596850209316,16.2680823256245,15.7488622144854,16.0084722700549,205.721441971221,1108094.45982687,0.0,0.512215155604272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  07:00:00,8.925,2.9875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,119.370984347656,0.0,0.0,0.0,40.7010922883314,0.0,0.0,38.672317221295,0.0,0.0,39.9975748380292,16.0931533541643,15.6095235635909,15.8513384588776,199.238282379834,1117698.36196468,0.0,0.511794638372207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  08:00:00,8.375,2.1,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,240.438254123549,30.4014180619772,809450.098936478,47.1664583301186,69.0955240214779,11.7723985735815,50.4943677347761,76.3984469598595,10.6401122004261,72.9101104150452,97.1230717408797,10.1676958866373,16.1691727390497,15.6206186231766,15.8948956811132,239.67048975465,1335962.52979143,0.0,0.512768103720696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  09:00:00,8.625,1.875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,1310.63836243041,0.0,3536250.63030185,276.837473254139,479.916135201692,0.0,276.83747325414,478.099282649799,0.0,223.452359218309,352.62294457892,0.0,17.2846835598367,16.6592548055268,16.9719691826818,344.064690876921,1374472.64190597,0.0,0.514327873195729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  10:00:00,10.25,2.4125,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,1872.16828707038,0.0,4944681.80929927,462.125554774649,798.388550438831,0.0,428.696275609753,738.198757075922,0.0,196.965955651599,335.580979555624,0.0,18.7504231785464,18.1742744731885,18.4623488258674,342.912416868977,1174240.87719126,0.0,0.514110276991959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  11:00:00,11.625,2.6,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,2138.21278499459,0.0,5597055.52826652,626.710026462912,1072.11935649204,0.0,484.373396715328,833.088964179261,0.0,116.357801275122,233.004464323287,0.0,20.2895667875121,19.7057258330002,19.9976463102562,338.214947588357,1146343.09711138,0.0,0.514332741996058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  12:00:00,12.625,2.6,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,1990.07996408791,0.0,5328231.20897404,647.218745170523,1130.3333236467,0.0,449.299615875854,795.612301183726,0.0,22.8736954834357,64.1343392574813,0.0,21.5093126122796,20.927199478409,21.2182560453443,310.316125585157,1277939.83121964,0.0,0.514491014763667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  13:00:00,14.25,3.225,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,1999.51275554579,0.0,5336095.67686575,678.120466945915,1171.88242207885,0.0,463.293283944287,812.538523936294,0.0,6.904418389016223E-003,15.0918095306441,0.0,22.6635316966514,22.0423123266578,22.3529220116546,302.722451065192,1168569.89923697,0.0,0.513566641275217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  14:00:00,14.375,3.2875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,1864.65618733864,0.0,5021379.47734834,622.640885018022,1066.98878506946,0.0,457.743363692139,791.119312028302,0.0,0.0,6.54809024087826,0.0,23.6677829052263,22.9416100684352,23.3046964868307,298.343317671626,1273288.92729181,0.0,0.514874633106525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  15:00:00,15.875,3.725,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,844.62221217164,0.0,2426639.8255065,247.74050589168,450.78743169135,0.0,210.372138011075,383.070954058151,0.0,0.0,10.7638264221386,0.0,23.5961056650861,22.9640764383115,23.2800910516988,205.364102521794,1049389.6942372,0.0,0.512249046191946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  16:00:00,17.625,4.725,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,61.2594417636099,2.528119224404557E-002,390618.902154419,8.24775785153759,28.7954434992095,0.0,8.24775785153759,26.6115048351753,0.0,0.0,6.47980101164026,0.652588774659158,22.8388176095416,22.4860023691989,22.6624099893702,99.1945506640684,667919.042536312,0.0,0.508363169369987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  17:00:00,17.375,4.475,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,63.099277186753,71321.1892553798,0.0,0.0,21.1619497968252,0.0,0.0,19.7177575108663,0.0,0.0,22.2195698790615,22.2404445460796,21.9022300222117,22.0713372841457,81.1603739046044,648584.296390505,0.0,0.507785975833724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  18:00:00,15.75,3.7875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,107.481441809886,0.0,0.0,0.0,36.8127254564548,0.0,0.0,34.4147960030204,0.0,0.0,36.2539203504104,21.6174665506686,21.132767698161,21.3751171244148,107.65564916107,943018.291901536,0.0,0.509250784744949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  19:00:00,15.,3.6,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,108.169710011429,0.0,0.0,0.0,36.9300273742277,0.0,0.0,34.6264276606065,0.0,0.0,36.6132549765948,20.9706816627745,20.4476879793983,20.7091848210864,124.762521669847,954195.992106071,0.0,0.509386817537757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  20:00:00,13.125,3.6,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,124.603106757039,0.0,0.0,0.0,42.6446171568321,0.0,0.0,40.2639616567347,0.0,0.0,41.6945279434727,20.3337691561237,19.7107734218368,20.0222712889802,159.329406111696,839002.000816883,0.0,0.511539603194108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  21:00:00,11.375,2.2875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,138.170214162564,0.0,0.0,0.0,47.187176336202,0.0,0.0,44.8005104518449,0.0,0.0,46.1825273745171,19.6660118002891,18.9432771740316,19.3046444871603,208.739471602047,925824.595478866,0.0,0.513354608367288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  22:00:00,11.,1.5,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,134.547179514866,0.0,0.0,0.0,45.9748717942329,0.0,0.0,43.5943829189333,0.0,0.0,44.9779248016997,19.048643158965,18.3601252508396,18.7043842049023,207.930879602197,955802.874593428,0.0,0.51298512336394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  23:00:00,11.,1.875,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,126.711309784959,0.0,0.0,0.0,43.2751580056403,0.0,0.0,41.007923021232,0.0,0.0,42.4282287580872,18.5152215134043,17.8961610997469,18.2056913065756,192.729477165774,928034.585152733,0.0,0.512155164019668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/01  24:00:00,10.375,1.725,0.0,0.0,43.627267584,157058.1633024,89.1869184000001,321072.90624,0.0,129.045137814463,0.0,0.0,0.0,44.1296797059763,0.0,0.0,41.7696706024764,0.0,0.0,43.1457875060108,18.043854031938,17.4337021427558,17.7387780873469,197.365112618808,921379.14401206,0.0,0.512480196859096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,321072.90624 
 01/02  01:00:00,9.375,2.1875,0.0,0.0,43.627267584,157058.1633024,118.9158912,428097.20832,0.0,135.468893966661,0.0,0.0,0.0,46.2617932459628,0.0,0.0,43.9190773670802,0.0,0.0,45.2880233536181,17.6140333526752,16.9974316268074,17.3057324897413,209.188339352379,1081162.22886895,0.0,0.513495861803186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,428097.20832 
 01/02  02:00:00,9.625,3.225,0.0,0.0,43.627267584,157058.1633024,118.9158912,428097.20832,0.0,125.883964454301,0.0,0.0,0.0,43.0118351704854,0.0,0.0,40.8377749813061,0.0,0.0,42.0343543025096,17.2385853817023,16.6939856777973,16.9662855297498,196.360548331397,1177914.08101697,0.0,0.512443678314352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,428097.20832 
 01/02  03:00:00,8.125,2.2875,0.0,0.0,43.627267584,157058.1633024,118.9158912,428097.20832,0.0,142.612524072799,0.0,0.0,0.0,48.5758043621898,0.0,0.0,46.3625292429425,0.0,0.0,47.6741904676672,16.9025245548554,16.2765821650932,16.5895533599743,223.35814506417,1296348.18026976,0.0,0.514453187998505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,428097.20832 
 01/02  04:00:00,7.625,2.1875,0.0,0.0,43.627267584,157058.1633024,118.9158912,428097.20832,0.0,141.045111807828,0.0,0.0,0.0,48.1305699764171,0.0,0.0,46.0164270911388,0.0,0.0,46.8981147402719,16.5429901744975,15.8931348747827,16.2180625246401,246.613423398893,1248206.05677161,0.0,0.514706912460266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,428097.20832 
 01/02  05:00:00,9.25,2.9125,0.0,0.0,43.627267584,157058.1633024,118.9158912,428097.20832,0.0,117.024380201957,0.0,0.0,0.0,40.0261370797221,0.0,0.0,37.9216718582101,0.0,0.0,39.0765712640249,16.295429228006,15.8477625839656,16.0715959059858,189.285519522121,927259.051409026,0.0,0.51169182656656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157058.1633024,428097.20832 
 01/02  06:00:00,10.,2.7875,0.0,0.0,87.2545351680001,314116.3266048,118.9158912,428097.20832,0.0,135.83946744604,0.0,0.0,0.0,46.5847617837547,0.0,0.0,44.3100938421364,0.0,0.0,44.9446118201492,17.551825484377,21.9304967542143,19.7411611192957,-1998.34336861746,1670933.56082405,0.0,0.521123767997735,0.0,0.0,0.0,0.0,9826856.526593,0.0,9826856.526593,0.0,314116.3266048,428097.20832 
 01/02  07:00:00,9.375,2.6,0.743224320000001,321072.90624,87.2545351680001,314116.3266048,118.9158912,428097.20832,0.0,166.775851079997,0.0,0.0,0.0,57.0426537295688,0.0,0.0,54.663241299298,0.0,0.0,55.0699560511299,19.0205588715015,21.999999729144,20.5102793003228,-1428.41255499458,1875443.2920781,0.0,0.522324105508058,401360.428659621,0.0,0.116474162740065,16838.49019392,6863703.78676388,0.0,6863703.78676388,0.0,314116.3266048,428097.20832 
 01/02  08:00:00,9.,3.5375,1.48644864,642145.812480001,261.763605504,942348.979814401,118.9158912,428097.20832,213.965653736292,52.0004313617141,806526.551563129,46.9760042198781,61.2468805787355,20.2388911658335,50.2969181271501,68.2870621001474,19.1488929218939,72.5795648573979,85.9995177843865,14.180454000964,19.7267284561114,21.9999999999609,20.8633642280362,-1009.78664068359,1993707.78469205,0.0,0.522996231121762,855443.274634448,0.0,0.233248082919186,33676.98038784,5429750.63043248,0.0,5429750.63043248,0.0,942348.979814401,428097.20832 
 01/02  09:00:00,11.5,4.4125,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,1303.89194273423,0.0,3535192.88543897,276.805137519082,477.604506269587,0.0,276.805137519084,475.231545646656,0.0,223.418798890115,351.055890817987,0.0,21.3035248518622,22.,21.6517624259311,-277.774903608017,1707637.68857644,0.0,0.518379553887481,3457014.77523342,0.0,1.09814830848731,159965.65684224,2517733.11640697,0.0,2517733.11640697,0.0,2827046.9394432,963218.718720001 
 01/02  10:00:00,13.625,3.975,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,1811.2524237229,0.0,4777119.53058014,436.991456542056,769.035186436537,0.0,406.651351212437,712.402853026387,0.0,188.337300238752,329.814384259979,0.0,22.6071671719247,22.253470477165,22.4303188245448,183.392899037848,1552681.27895954,0.0,0.51492860496782,3128022.81226289,0.0,1.09083773134285,159965.65684224,80343.0337081253,0.0,80343.0337081253,0.0,2827046.9394432,963218.718720001 
 01/02  11:00:00,15.875,3.9125,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,1840.53457267958,0.0,4789240.6550297,498.898730348746,911.790079251266,0.0,385.651783195087,709.740694636388,0.0,92.6797639539869,219.003798791925,0.0,23.7295376484841,23.4756765439107,23.6026070961974,160.044137194352,1488202.90020757,0.0,0.513144009950485,2992551.22911092,0.0,1.08705720029196,159965.65684224,0.0,0.0,0.0,0.0,2827046.9394432,963218.718720001 
 01/02  12:00:00,18.25,4.725,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,1820.92664870932,0.0,4782339.82034973,546.909211822081,1014.86888097417,0.0,379.573605554642,718.453357800617,0.0,19.1105355987798,87.6044099345299,0.0,24.9379300087441,24.9995120912408,24.9687210499924,77.0835047878283,1429729.97137236,0.0,0.511538571268195,2868113.41407828,0.0,1.0836561985354,159965.65684224,0.0,0.0,0.0,0.0,2827046.9394432,963218.718720001 
 01/02  13:00:00,17.125,4.475,3.7161216,1605364.5312,785.290816512001,2827046.9394432,237.8317824,856194.416640001,1789.57944212979,0.0,4793837.78426942,571.517259270901,1038.86498327949,0.0,390.362358675473,720.879108548543,0.0,5.950501699879884E-003,29.835350301756,0.0,26.0325111932427,25.9218653830834,25.977188288163,125.216241907998,1497522.74371502,0.0,0.5150625192423,1585017.30442995,0.0,0.574274430903226,84192.4509696001,0.0,0.0,0.0,0.0,2827046.9394432,856194.416640001 
 01/02  14:00:00,16.625,3.1625,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,1480.96106687474,0.0,4026343.80066094,432.688120401028,833.390254104372,0.0,316.850538555183,616.656571189768,0.0,0.0,30.9142415806026,0.0,26.6540054521803,25.7943867296561,26.2241960909182,319.676944736281,1577024.24739599,0.0,0.5157182270415,3179837.06937214,0.0,1.09251048663973,159965.65684224,0.0,0.0,0.0,0.0,2827046.9394432,963218.718720001 
 01/02  15:00:00,17.,1.9125,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,495.551810751917,0.0,1542736.4660777,101.951353147753,254.272726872449,0.0,86.5607206060247,212.342603544464,0.0,0.0,28.9364803350043,0.0,26.2309617926981,25.574216428685,25.9025891106915,229.040079643894,1670479.94342274,0.0,0.51460746534095,3376262.60967873,0.0,1.09015742106558,159965.65684224,0.0,0.0,0.0,0.0,2827046.9394432,963218.718720001 
 01/02  16:00:00,17.625,3.125,7.06063104000001,3050192.60928,785.290816512001,2827046.9394432,267.5607552,963218.718720001,64.2857816946058,2.15008454481753,430782.288317513,4.59598639574429,27.8281188596478,0.336511979364781,4.59598639574429,23.1491678592808,0.995493989750307,0.0,13.3084949756773,0.818078575702439,25.6327490117626,25.2866064212918,25.4596777165272,118.68368102036,1572435.10698118,0.0,0.512995663603902,3168226.80098489,0.0,1.0867429396535,159965.65684224,0.0,0.0,0.0,0.0,2827046.9394432,963218.718720001 
